Scenario,TID,Test Data,Test Case Description,Pre-Condition,Test Steps,Steps to Execute,Expected Result,Actual Result,Executed QA Name,Misc (Comments),Priority,Is Automated,Status
Login,TC-011,Not applicable,Verify Account Registration link navigates to free trial signup page,User is on the login page at app.vwo.com,"1. Navigate to app.vwo.com  2. Locate and click the Account Registration / Start Free Trial link","1. Navigate to app.vwo.com  2. Locate and click the Account Registration / Start Free Trial link",User is redirected to the free trial registration/signup page. The registration path has minimal friction as specified in PRD.,,,,High,Yes,
Login,TC-012,"Email: valid_user@company.com / Password: ValidP@ss123 / Device: Mobile (375px width)",Verify responsive design renders login page correctly on mobile devices,User accesses app.vwo.com from a mobile device or mobile viewport,"1. Open app.vwo.com on a mobile device or set browser viewport to 375px width  2. Observe layout and touch target sizes  3. Attempt to enter credentials and login","1. Open app.vwo.com on a mobile device or set browser viewport to 375px width  2. Observe layout and touch target sizes  3. Attempt to enter credentials and login",Login page renders responsively with touch-friendly controls. All interactive elements (buttons, inputs, links) have adequate touch target size (min 44x44px). Form layout adapts without horizontal scrolling.,,,,Medium,No,
Login,TC-013,Not applicable,Verify keyboard navigation works for all interactive elements on login page,User is on the login page at app.vwo.com,"1. Navigate to app.vwo.com  2. Press Tab key to navigate through all interactive elements  3. Press Shift+Tab to navigate backwards  4. Press Enter/Space on focused elements to activate them","1. Navigate to app.vwo.com  2. Press Tab key to navigate through all interactive elements  3. Press Shift+Tab to navigate backwards  4. Press Enter/Space on focused elements to activate them",All interactive elements (email field, password field, Login button, Remember Me checkbox, Forgot Password link, Registration link) are reachable via Tab key. Focus indicators are visible. Elements activate on Enter/Space.,,,,Medium,No,
Login,TC-014,Not applicable,Verify screen reader announces all form elements and error messages with correct ARIA labels,User is on the login page with screen reader enabled (e.g. NVDA, JAWS, VoiceOver),"1. Navigate to app.vwo.com with screen reader active  2. Tab through form fields and listen to announcements  3. Submit form with invalid data and listen to error announcements","1. Navigate to app.vwo.com with screen reader active  2. Tab through form fields and listen to announcements  3. Submit form with invalid data and listen to error announcements",Screen reader announces field labels, roles, and states correctly. Error messages are announced when validation fails. All form controls have appropriate ARIA labels.,,,,Medium,No,
Login,TC-015,Not applicable,Verify Light Mode and Dark Mode theme toggle on login page,User is on the login page at app.vwo.com with theme support available,"1. Navigate to app.vwo.com  2. Locate the theme toggle control (Light/Dark Mode)  3. Switch to Dark Mode  4. Observe visual changes  5. Switch back to Light Mode","1. Navigate to app.vwo.com  2. Locate the theme toggle control (Light/Dark Mode)  3. Switch to Dark Mode  4. Observe visual changes  5. Switch back to Light Mode",Theme toggle changes between Light and Dark Mode. Dark Mode renders with appropriate contrast ratios. All form elements remain clearly visible and usable in both themes. VWO branding remains consistent.,,,,Low,No,
Non-Functional,TC-016,Not applicable,Verify login page loads within 2 seconds on standard broadband connection,"User has standard broadband connection (approx 10 Mbps). Test tooling available (Lighthouse, WebPageTest).","1. Clear browser cache  2. Navigate to app.vwo.com  3. Measure page load time using browser DevTools or Lighthouse  4. Record First Contentful Paint and Time to Interactive","1. Clear browser cache  2. Navigate to app.vwo.com  3. Measure page load time using browser DevTools or Lighthouse  4. Record First Contentful Paint and Time to Interactive",Login page fully loads (Time to Interactive) within 2 seconds on standard broadband connection. Core assets (CSS, JS) are compressed and minified.,,,,High,No,
Non-Functional,TC-017,Not applicable,Verify HTTPS/TLS encryption is enforced for all login communications,User is on the login page at app.vwo.com,"1. Navigate to app.vwo.com  2. Check browser address bar for HTTPS lock icon  3. Attempt to access via http://app.vwo.com  4. Inspect network requests for credential transmission","1. Navigate to app.vwo.com  2. Check browser address bar for HTTPS lock icon  3. Attempt to access via http://app.vwo.com  4. Inspect network requests for credential transmission",Connection uses HTTPS with valid SSL/TLS certificate. HTTP requests are automatically redirected to HTTPS (HTTP Strict Transport Security). Login credentials are transmitted over encrypted channel only.,,,,High,No,
Non-Functional,TC-018,"Email: valid_user@company.com / Password: wrong password (5 rapid attempts)",Verify rate limiting prevents brute force login attempts,User account exists. Test requires ability to send rapid login requests.,"1. Navigate to app.vwo.com  2. Enter valid email with incorrect password  3. Submit login 5 times in rapid succession within 60 seconds  4. Attempt 6th login","1. Navigate to app.vwo.com  2. Enter valid email with incorrect password  3. Submit login 5 times in rapid succession within 60 seconds  4. Attempt 6th login",After threshold of failed attempts system enforces rate limiting: either temporary account lockout, CAPTCHA challenge, or cool-down period message displayed. Protection against brute force as specified in PRD.,,,,High,No,
Login,TC-019,Not applicable,Verify existing Product Announcements banner is displayed on login page,"User is on the login page. Product announcements banner feature is active.","1. Navigate to app.vwo.com  2. Observe the page for product announcement banner","1. Navigate to app.vwo.com  2. Observe the page for product announcement banner",A banner is displayed highlighting new UI launch with reference to Light and Dark Mode options as specified in existing features of PRD. Banner is visually distinct but does not obstruct login form.,,,,Low,No,
Login,TC-020,"Email: valid_enterprise@corp.com / Password: ValidP@ss123 / Auth Method: SSO",Verify SSO redirection for enterprise users configured with SAML/OAuth,Enterprise SSO is configured for the organization domain. User belongs to SSO-enabled organization.,"1. Navigate to app.vwo.com  2. Enter enterprise email with SSO-configured domain  3. Observe if SSO flow is triggered or a separate SSO login button is available  4. Complete SSO authentication via identity provider","1. Navigate to app.vwo.com  2. Enter enterprise email with SSO-configured domain  3. Observe if SSO flow is triggered or a separate SSO login button is available  4. Complete SSO authentication via identity provider",User is redirected to enterprise identity provider for authentication. After successful IdP authentication user is redirected back to VWO dashboard with valid session.,,,,Medium,No,
Login,TC-021,"Email: valid_user@company.com / Password: ValidP@ss123 + 2FA Code: 123456",Verify Optional 2FA challenge appears and works for accounts with 2FA enabled,User account has 2FA/MFA enabled. Valid authenticator app or SMS configured.,"1. Navigate to app.vwo.com  2. Enter valid email and password  3. Click Login  4. Observe if 2FA challenge screen appears  5. Enter valid 2FA code  6. Submit","1. Navigate to app.vwo.com  2. Enter valid email and password  3. Click Login  4. Observe if 2FA challenge screen appears  5. Enter valid 2FA code  6. Submit",After valid credentials 2FA/MFA challenge is presented. On successful 2FA code entry user is redirected to dashboard. Invalid 2FA code shows error and denies access.,,,,High,No,
